Comments,HateSpeech
যদি দেখো আকাশ ভরা তারা বুঝে নিও খেতে যাচ্ছ তুমি পুটকি মারা সারা।এনজয় করো বেশি বেশি। মডেলদের কে নিয়ে ভবিষ্যৎ উজ্জ্বল,1
ওর পুরা গুষ্টি শ্বশুরের গুষ্টি বাপের গুষ্টি সবার সকল সম্পত্তি বাজেয়াপ্ত করা হোক স্থাবর অস্থাবর সব।,0
এতদিন এসব অপকর্ম নিউজ কোথায় ছিল? দালাল সাংবাদিক।,1
নারী মানে ষড়যন্ত্র।,1
চোরের মুখে বাংলার ব্যথা ,1
"যেই দেশে পানির দাম আর দুধের দাম সমান, আমরা সেই দেশের নাগরিক",0
মানুষের হুগা মারার বাজেট এবারের বাজেট,1
ধর্ষকের শাস্তি হওয়া উচিত,1
লোভে পাপ পাপে প্রেগনেন্ট,0
অনশন প্রথা যে বের করছে তাকে নোবেল দেওয়া হোক,0
দেশে এখন গাঞ্জার অভাব মনে হয় তাই এই অবস্তা,1
হোটেলে আসছো গেছো মজা তুমিও পাইছো ও পাইছে এখন বাড়িতে কি ,0
রাফসান কে খোদা খুঁজে ধরছে ,0
"হেডার গান গায়, কোন ফিল আসে না, উল্টা ভয় লাগে, কে জানি কখন কি ধইরা কাইটটালায়",1
হাই কোর্টও নারী দেখে সব ভুলে গেছে মনে হয়।,0
"টিকটকার যেখানে, সময় টিভি সেখানে",0
ওকে তো রাস্তার ফকিন্নির মতো লাগছে।,1
এইদেশে নিরাপরাদ মানুষেরি বিচার হয় বেশি খুনিরাতো উল্লাস করে আর নিরাপদে বিচরন করে,1
"৬ ভেবে যে চিল্লানিটা দিছিলাম, পরে ক্যাচ ধরার সাথে সাথে বিছানায় পড়ে গেছি",0
তুমি কোন শহরের মাইয়া গো লাগে উড়াধূরা ,0
তোমার কোন কোন জায়গা ব্যাথা গো বান্ধবী ললিতাগান টা কে কপি করছে ,0
গেছে দুই বছর থেকে ইন্ডিরা সিলিন্ডার করে বাইক চালাচ্ছে। ,0
ঐতো যেই লাউ সেই কদু হয়ে যাবে।তখন দেখবেন গ্যাসের দাম বেড়ে গেছে হা হা ,0
হুজুরের আবিষ্কার মহা বিপদজনক। ,0
গানটা সুন্দর তার পোশাক আশাক ভালো লাগে নাই ,0
রুচিতে কোনো সমস্যা হচ্ছে ,0
গানটা সুন্দর তবে ড্রেসটা নয়,0
এসব কি হচ্ছে বাংলাদেশে অস্ট্রেলিয়ান গাভীর মতো পেট বের করে আরো ,1
চমৎকার পারফরমেন্স ,0
"সুমন ভাই এক্স রে মনে পড়েছিল, তাই এই গান শুনতে চায়ছেছিল",0
বুকে ব্যথা অনুভব করতে চায় কিন্তু আধুনিকতার ছোঁয়া লেগেছে,0
আলেমদের বিরুদ্ধে লাগো আলেম কে ফাসি দেও আর পছেন্দের গান শোনো ,1
শাকিব আর পরীমণির বিয়ে দেওয়া হোক ছেলে হলে নাম রাখবে প্রিন্স মামুন আর মেয়ে হলে লায়লা,0
শাকিব খানের এতো দাম কেন পরিমনি তো ভালাই মোটাতাজা,1
বাংলাদেশে বিনোদনের শেষ নেই,0
"এবার ঈদের কোরবানি হবে, জাহেদ খান, সাকিব খন, পড়িমনি, তাহেরি হুজুর, তাদের গরু নামে বিক্রি করে কোরবানি হচ্ছে ",1
একটা বেডা গরু আর একটা বেডি গরু তার মানে দুই জনেই গরু ,0
"এখন পর্যন্তই কোরবানির হাটে কি, নাজমুল হোসেন শান্ত নামে কোন গরু আসে নাই!",0
কিন্ত ষার গরু পরী মনি হয় কি করে সাকিব খান ছেলে এটা মানলাম। পরী মনি ছেলে আজ বুঝলাম,0
আজব দেশে আমাদের বসবাস! যেখানে মানুষ আর গরুর মধ্যে কোন বেদাবেদ নাই ,1
পরিমনির দাম সস্তা এজন্য সিরিয়ালে ৫০ জন বুকিং আছে!,1
"পরীমনি আড়িয়া হলো কবে,পরীমনি তো মহিলা",1
পরীমনির পরনে তো একটুকরো কাপড় অন্তত থাকা উচিত ছিলো!,0
তার মানে পরীমনি আর শাকিব খান এই দুইটাকেই আজ হাটে তোলা হয়েছে ,1
ভাই পরীমনি কিনার চেয়ে এক রাতের জন্য রাশিয়ান কিনে ফেলবো ছয় হাজার টাকা দিয়ে ,1
"বাংলাদেশেয তাহলে নায়ক, নায়িকার নামে গরু বিক্রি হচ্ছে, কার দাম বেশি, চাহিদা কেমন ",1
ওবাইদুল কাদের নামে কোন গুরু নাই।,0
ভাইরাল হওয়ার জন্য শাকিব খান নাম টাই যথেষ্ট সব ভাইরাল হওয়ার ধান্দা,0
পরিমনির কি বিচি আছে ভাইয়া ,1
"হিরু আলম, রানু মন্ডল, সিদ্দিক, ওরা দি দোষ করলো।",0
তাহেরী মনে হয় মাঠে ঘাস খায়,1
জায়েদ খান কই,0
শত্রুর দেশের লোক বাংলাদেশের ,1
যতদিন শেখ হাসিনার হাতে দেশ পথ হারাবে না বাংলাদেশ ,0
"এইগুলা নাটকেই সুন্দর, বাস্তব জীবন এ না",0
"এই সব নাটক এ দেখতে ভালো, বাস্তবে তার উল্টো ঘটে ",0
বাংলাদেশে জায়েদ খান আর শাহরিয়ার নাজিম জয়ের পর তৃতীয় বেহায়া হল সাকিব।নামে মাএ আজাইরা বিশ্বসেরা অলরাউন্ডার ,1
মাদারবোর্ড অলরাউন্ডার ,1
"আইসিটি সংক্ষিপ্ত,পূর্ণ রূপ যেনো কি ছিলো কি ছিলো ",0
হাতে ব্লেড দিয়ে পোচ দিয়ে ক্যান,0
বাংলাদেশে পাগলবন্দি ভাতা দেওয়া উচিত। এই কথার সাথে কে কে রাজি হাত তুলুন,0
"সাংবাদিক গুলা কি বোকাচোদা নাকি, মূর্খ টিকটকারের ইন্টারভিউ নেয়",1
ভাইটির পেটে আসতেছে মাথায় আসতেছে না  কি লজিকরেভাই,0
নতুন পাগলের আমদানি হচ্ছে এর জন্য সাংঘাতিক সাহেবদের অবদান ,0
ফকিনি পোলা,1
সৃজনশীল পোলাপান ,0
এই বালডারে নিয়া এতো কথা হচ্ছে কেন,1
এই বাইনচোদ ডেনডি খাই মনে হই,1
মাদারচোদের গোয়াতে বুম মাইক ডুকাইদেন ভাই,1
যারা এই পাগল ছাগলদের ইন্টারভিউ নিচ্ছে তারাও একটা গাঞ্জা খোড় ,1
অগ কুত্তা দিয়া চোদানো দরকার ,1
আমি কি উগান্ডায় চলে আসলাম না কি?,0
সরকারের কাছে জোর দাবি জানাচ্ছি কমেন্ট পড়া লোকদের বেতনের ব্যবস্থা করা হোক ধন্যবাদ,0
ভিডিও টা দেখার পর কোমাতে আছি কেউ ডাক দিবেন না,0
আমি এই ভিডিও দেখার জন্যই বোধহয় বেঁচে ছিলাম। এখন মরে গেলেও কোন দুঃখ থাকবে না,0
"এমন গালি দিতে মন চাইতাসে, এমন মন চাইতাসে কিন্তু ভদ্রটার খাতিরে রাগের ঠেলায় দেয়ালে নিজের মাথা বাড়ি মেরে গালি দেওয়ার ইচ্ছে টাকে কবর দিয়ে দিসি।।।",0
ভাই তরে আর কত বলব গাড়ি খাইয়ে মদ চালাস না ,1
আচ্ছা এই টাকা গুলি কি ভ্যাট দিয়ে বৈধ করা যাবে কি,0
মানুষের কষ্টের শেষ নাই ,0
একজন ব্যাবসায়ী গ্রেফতার করা মোটেও ঠিক না।  এটা হয়রানি ছাড়া আর কিছু না ,0
ব্যবসা ভালই বেচারি মহিলা কান্না করতেছে আহ্ সোনা গো আমার এখন খুব কষ্ট হচ্ছে না,0
কত বড় নির্ভীক যোদ্ধা ,0
একজন অপরাধী তার মুখ ঢাকনা কেন?,0
আমাদের সমাজটা কোথায় চলে গেছে বিবাহিত হলে দোষ হয়ে যায় আর বিয়ে করার আগে যা করবে কোন দোষ নাই ,0
তোরা কুত্তার বাচ্চারা দেশটাকে জাহাননাম বানাই ফেললি!,1
"এই কুত্তার বাচ্চা,লায়লা যদি তোর বউ বা আত্মীয় না হয় তাহলে তার বাসায় ৪ বছর কেন থাকছিলে? তুই এবং লায়লা দুটাই আবর্জনা, অসভ্য।",1
"বজ্রপাত ও বীর্যপাত দুটোই মারাত্মক প্রথমটায় মৃত্যুর হার বাড়তেই থাকে আর দ্বিতীয়টায় জন্মের হার বাড়তেই থাকে তাই বন্ধুগণ, সাবধানতার প্রয়োজন।",1
বজ্রপাতের সময় প্রয়োজন ছাড়া বাইরে নয়। আর বীর্যপাতের সময় প্রয়োজন ছাড়া ভেতরে নয়।,1
"জনস্বার্থে প্রচারিত, ধিক্কার জানাই কনডম এবং মেডিসিন কোম্পানিকে এত পরীক্ষার পরেও কিভাবে দুর্ঘটনা ঘটে.",1
"যেহেতু লজ্জার ভ্যাকসিন তৈরি হয়নি এখনো, তাই আপাতত এদের কে কুকুরের ভ্যাকসিন দেওয়া উচিৎ! তাতে সমাজ একটু হলেও শান্তি পাবে! ",1
"মহিলা তো সিরিয়াস টাউট, ছেলে আর কতো ভালো হবে ",1
খালি শালীলিক সমপর্ক করছে ,0
জায়েদ খানের ফেমিকন নিয়ে আসো। মজা আরো লাগবে। ,0
যৌবনের জ্বালা বড় জ্বালা।,0
"পিজি হাসপাতাল থেকে উন্নত চিকিৎসার জন্য ঢাকা মেডিকেলে প্রেরণ, হাহাহাহা",0
দেশের দুর্নীতি তালিকায় প্রধান শীর্ষে এখন চিকিৎসা নামক পেশা। ,0
"ঔষধ কোম্পানিগুলো হাসপাতালে খুবই বিরক্ত করে, ",0
"এ কেমন পুলিশ, যে নিজের বিশেষ অঙ্গের সেইফটি দিতে পারেনা ",0
অতিরিক্ত প্রেম আর অতিরিক্ত গরম দুইটাই বেশি হলেই জামা-কাপড় খুলতে হয়।,1
ঘরে ঘরে পতনের ভয়ে হোটেলে আসলো তবুও হোটেলেও বিবস্ত্র  আই হায় কামডা করলো কে!,1
হিজড়াঃ টাকা দে নয়তো কাপড় উঠামু! আমার বন্ধু উঠা একটু দেখি!,1
অর্ধনগ্ন অবস্থায় দৌড় টা কড়া আসিলো ,1
নিজের মেশিনের নিরাপত্তি দিতে পারে না যে পুলিশ সে জনগণের নিরাপত্তা দিবে কিভাবে প্যান্ট খুলে ধুর,1
আহারে দুনিয়া নুনুর নিরাপত্তা টা ও নাই,1
পুরাতন গর্ত হইতে সাবধান  গর্তে কাঁকড়া থাকতে পারে,0
আজব আজব সব ঘটনা শুধু বরিশালেই হয়,0
মেয়েরা ঘরে বসে ইমু ফ্রিল্যান্সিং করে মাসে লাখ টাকা ইনকাম করতে পারে ,0
অডিও কল ৩০০ ভিডিও কল ৫০০ ,0
বিছানায় শুয়ে আয় করেন আরও বেশি মজা লাগবে,0
সরকার কি এই টাকার কোন ট্যাক্স নেবে না ,0
মুখ খুলছে কয়েকদিন পড়ে শোনা যাবে সবী খুলছে!,0
ইমো ভিডিও কল এদের আয়ের প্রধান উৎস‍,1
এই সব ইমু উদ্যোক্তাদের সরকারিভাবে অনুদান দেয়া উচিত,0
এই দেশে কেউ কাউকে উঠতে দেখলেই টেনে নামিয়ে ফেলে! হিংসা এদেশের মানুষের রক্তে মিশে গেছে ,0
চুর. আগে মানুষের ঘরে ঘরে গিয়ে চুরি করতো. এখন শিক্ষিত হয়ে অফিসে বসে আছে. ,1
শ্রীলঙ্কান হেতি এতো সুন্দর কেমনে ,0
এই ভাইটি একমাত্র ব্যক্তি যে বিদেশ থেকে বউ আমদানি করে জিতছে ,0
এতোদিনে একটা সুন্দরী মেয়ে আসলো তাও আবার শ্রীলঙ্কা থেকে ,0
একাধিক পুরুষের প্রতি আকর্ষণ থাকলে ডিভোর্স তো হবেই। খুলনার মেয়েদের চরিত্র গুলো খুবই বৈচিত্র্যময়।,0
আমার ক্রাশ এখনো বিয়ে করেনি তাই সিলেটে বিবাহের হার কম,0
সিলেটের সবগুলো ইউরোপ লন্ডনের জন্য অপেক্ষা করছে আরকি,0
